[2018-07-17T16:19:23.708Z]	<jungly>	... had a few snafus, this time the only code base that support @graph (things in 1.1) that we need for proper VC appears to be in the js version included in the playground
[2018-07-17T16:19:38.650Z]	<jungly>	... not doing a great job in separating the signature suite
[2018-07-17T16:19:51.658Z]	<JoeAndrieu_>	ack manu
[2018-07-17T16:19:55.701Z]	<jungly>	... need more work to identify people who are working on this and rope them in
[2018-07-17T16:19:55.759Z]	<JoeAndrieu_>	q?
[2018-07-17T16:20:09.385Z]	<jungly>	manu: happy to support as digital bazaar
[2018-07-17T16:21:03.221Z]	<jungly>	... you can make progress without 1.1. Sigs will be wrong, but more important bits are can you express VC as you want and if the context is capturing things properly
[2018-07-17T16:21:16.971Z]	<jungly>	... might not take tremendous amount of work to bring software up to speed
[2018-07-17T16:21:29.365Z]	<jungly>	... we have plenty of people that can update the libs
[2018-07-17T16:21:37.424Z]	<JoeAndrieu_>	q?
[2018-07-17T16:21:39.379Z]	<jungly>	... need to understand what is working and what isn't
[2018-07-17T16:21:45.720Z]	<ChristopherA>	I tried some tests https://github.com/w3c-ccg/did-hackathon-2018/blob/master/BTCR-DID-Tests.md
[2018-07-17T16:22:03.892Z]	<jungly>	ChirstiopherA: Just shared a URl that is all that is relevant
[2018-07-17T16:22:33.009Z]	<jungly>	Andrieu: Amira was published, and we hoped this would be an outcome of this group
[2018-07-17T16:22:39.650Z]	<JoeAndrieu_>	https://github.com/WebOfTrustInfo/rebooting-the-web-of-trust-fall2017/blob/master/final-documents/amira.pdf
[2018-07-17T16:22:46.930Z]	<squarfed>	voip: 2b5 is squarfed
[2018-07-17T16:22:49.160Z]	<jungly>	... reviewing the paper in detail next week. Link shared. Quick read.
[2018-07-17T16:23:00.659Z]	<ChristopherA>	.md for markdown version
[2018-07-17T16:23:05.467Z]	<jungly>	... interpretation of Christopher's original WoT user story
[2018-07-17T16:23:19.240Z]	<jungly>	... diving into amira in detail next week
[2018-07-17T16:23:27.381Z]	<jungly>	... question is what do we do with it
[2018-07-17T16:23:37.419Z]	<chase>	q+
[2018-07-17T16:23:38.768Z]	<jungly>	... what is the right amount of engagement for a work item like that
[2018-07-17T16:23:53.446Z]	<jungly>	... manu, do you have a comment on that
[2018-07-17T16:23:54.081Z]	<manu>	q+
[2018-07-17T16:23:58.339Z]	<JoeAndrieu_>	ack chase
[2018-07-17T16:23:59.825Z]	<jungly>	manu: haven't thought much about it
[2018-07-17T16:24:19.265Z]	<jungly>	chase: thinking about california consumer act, going through use cases
[2018-07-17T16:24:39.105Z]	<jungly>	... lot of stuff on the law/bill about a VC. Do they know about VC or is it just legalise overlapping
[2018-07-17T16:25:02.492Z]	<JoeAndrieu_>	q?
[2018-07-17T16:25:03.609Z]	<jungly>	... how can we connect that ground more together, as it seems importnat
